program,invoke_count,compute_units,avg_cu
675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8,21,1539579,73313
FsJ3A3u2vn5cTVofAjvy6y5kwABJAqYWpe4975bi2epH,519,950673,1831
mv3ekLzLbnVPNxjSKvqBpU3ZeZXPQdEC3bp5MDEBG68,26,742720,28566
DtmE9D2CSB4L5D6A15mraeEjrGMm6auWVzgaD8hK2tZM,8,588640,73580
9xQeWvG816bUx9EPjHmaT23yvVM2ZWbrrpZb9PusVFin,85,546872,6433
D3z8BLmMnPD1LaKwCkyCisM7iDyw9PsXXmvatUwjCuqT,4,197330,49332
SSwpkEEcbUqx4vtoEByFjSkhKdCT862DNVb52nZg1UZ,1,141233,141233
MemoSq4gqABAXKb96qnH8TysNcWxMyWCqXgDLGmfcHr,1,130328,130328
TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,40,125961,3149
EzSXQ2BXf8m4y4jcQQGeZ6nnwXB3ARXP3YQ5SwjKLj82,1,81447,81447
ATokenGPvbdGVxr1b2hvZbsiqW5xWH25efTNsLJA8knL,3,72382,24127
sermFpEJuEvy1WC7G4xRxUEYmZUGc51KVh1rhnvMVTN,11,71650,6513
DzpARSggzEgNc2HLdrMEguSf9KGPh5RG1NMBqNnF8ZuU,5,58030,11606
3rVEgTR97opXeV2DPaHbyj4MTXbTWcQ3eeUcgdcmKkyT,1,33816,33816
CJsLwbP1iu5DuUikHEJnLfANgKy6stB2uFgvBBHoyxwz,1,33739,33739
7K3UpbZViPnQDLn2DAM853B9J5GBxd1L1rLHy4KqSmWG,2,30364,15182
DecZY86MU5Gj7kppfUCEmd4LbXXuyZH1yHaP2NTqdiZB,1,25367,25367
R2y9ip6mxmWUj4pt54jP2hz2dgvMozy9VTSwMWE7evs,1,20762,20762
5mpjDRgoRYRmSnAXZTfB2bBkbpwvRjobXUjb4WYjF225,2,11320,5660
J21zqcffYQU2NUJrvAKhqpKZLQK1YaB9dY5kmcxkMQvQ,1,11272,11272
Total Non-Vote Invokes,734,5413485,7375
Total Votes,445,,
Total Invokes & Votes,1179,,
