slot,tx_count,compute_units
110592000,0,0
110592001,27,419670
110592002,20,94530
110592003,206,862400
110592004,0,0
110592005,0,0
110592006,0,0
110592007,0,0
110592008,0,0
110592009,0,0
110592010,0,0
110592011,0,0
110592012,0,0
110592013,611,1837671
110592014,213,247187
110592015,154,75245
110592016,0,0
110592017,1399,1188952
110592018,585,297965
110592019,172,119666
110592020,538,1514200
110592021,103,319225
110592022,1046,387495
110592023,164,396867
110592024,0,0
110592025,0,0
110592026,0,0
110592027,0,0
110592028,1729,1731794
110592029,472,1427162
110592030,1644,887056
110592031,370,523300
110592032,1896,1452302
110592033,1677,1320506
110592034,1292,1538607
110592035,1043,1240078
110592036,1541,822317
110592037,1298,1651734
110592038,1155,1683653
110592039,697,1817366
110592040,0,0
110592041,0,0
110592042,0,0
110592043,0,0
110592044,1076,2876162
110592045,771,3909133
110592046,1099,1388076
110592047,835,1360869
110592048,1695,1782150
110592049,1743,1603620
110592050,1472,2655415
110592051,1621,1862987
110592052,3506,1681851
110592053,1363,1792390
110592054,742,2062094
110592055,660,2039834
110592056,0,0
110592057,993,728097
110592058,1249,796508
110592059,1023,1723630
110592060,0,0
110592061,0,0
110592062,0,0
110592063,0,0
110592064,0,0
110592065,0,0
110592066,0,0
110592067,0,0
110592068,639,370579
110592069,1093,1742953
110592070,376,1512550
110592071,382,2009521
110592072,0,0
110592073,0,0
110592074,0,0
110592075,0,0
110592076,0,0
110592077,0,0
110592078,0,0
110592079,0,0
110592080,0,0
110592081,0,0
110592082,0,0
110592083,0,0
110592084,1764,2373032
110592085,903,3557872
110592086,688,3593892
110592087,502,1165107
110592088,0,0
110592089,1575,1070367
110592090,1031,2300679
110592091,974,1765990
110592092,0,0
110592093,0,0
110592094,3339,2774098
110592095,1149,4732451
110592096,0,0
110592097,1272,1537333
110592098,950,1606394
110592099,429,1768850
110592100,1331,887209
110592101,439,1519840
110592102,859,1558951
110592103,649,1976538
110592104,1028,1501281
110592105,382,1814600
110592106,1134,2151122
110592107,656,3162626
110592108,1447,1923667
110592109,898,1899349
110592110,661,2464446
110592111,535,2634350
110592112,1222,1600805
110592113,463,2975307
110592114,788,2415955
110592115,849,1740950
110592116,1397,2435144
110592117,437,2066815
110592118,653,1961599
110592119,994,1477400
110592120,1190,1498534
110592121,1007,2236398
110592122,575,2251512
110592123,523,1841694
110592124,1108,808590
110592125,713,1066620
110592126,725,1807992
110592127,395,1485413
110592128,1006,1635368
110592129,256,1471575
110592130,941,1101200
110592131,752,1366175
110592132,451,663137
110592133,1057,1113256
110592134,197,619166
110592135,79,303552
110592136,1029,606291
110592137,868,378567
110592138,1100,582588
110592139,158,603595
110592140,2364,712484
110592141,571,651066
110592142,2113,740234
110592143,202,336114
110592144,1155,415261
110592145,1621,413513
110592146,1541,369099
110592147,778,380323
110592148,1223,407185
110592149,1747,254857
110592150,1125,416301
110592151,918,305849
110592152,1695,484626
110592153,2057,756444
110592154,1013,294507
110592155,250,325649
110592156,2420,389553
110592157,1191,366371
110592158,1673,579268
110592159,244,309110
110592160,1044,145926
110592161,1422,767551
110592162,1509,572709
110592163,1247,1340735
110592164,2735,1136697
110592165,1771,3346731
110592166,1211,2093644
110592167,1065,1267571
110592168,2810,1045977
110592169,1619,2236508
110592170,693,1409507
110592171,2580,1551763
110592172,2802,2221974
110592173,631,2310310
110592174,1409,1718090
110592175,886,2757067
110592176,1893,631749
110592177,1143,939656
110592178,832,1198875
110592179,910,1473101
110592180,1557,385170
110592181,916,874936
110592182,1292,1040009
110592183,1242,959841
110592184,0,0
110592185,0,0
110592186,0,0
110592187,0,0
110592188,1852,2031987
110592189,902,1820001
110592190,1040,2294473
110592191,583,1692316
110592192,1199,841227
110592193,1030,1484358
110592194,1389,1686284
110592195,1620,1702015
110592196,2422,1189412
110592197,1854,1432994
110592198,1373,1598342
110592199,2016,1634437
110592200,1208,581959
110592201,1364,854061
110592202,1357,1023484
110592203,768,825062
110592204,2080,1282119
110592205,1643,1546169
110592206,1369,1367702
110592207,1576,1554562
110592208,1907,1462017
110592209,1976,1908473
110592210,1547,1729193
110592211,1615,2358628
110592212,1415,753252
110592213,817,858325
110592214,969,529246
110592215,1064,823152
110592216,3499,1880518
110592217,2236,3171578
110592218,1506,2086269
110592219,1238,3590345
110592220,2856,1902411
110592221,1552,4489257
110592222,2753,2797369
110592223,581,3291203
110592224,2203,1536293
110592225,1451,2878786
110592226,1457,2085542
110592227,892,1997830
110592228,1465,1055671
110592229,1236,1308980
110592230,1323,1547001
110592231,1384,1683503
110592232,1589,488760
110592233,919,1163482
110592234,912,905767
110592235,1237,1063186
110592236,0,0
110592237,1606,1101542
110592238,1435,1282190
110592239,1306,2008461
110592240,2114,1108743
110592241,1763,1624722
110592242,1056,1139462
110592243,1028,1244525
110592244,1170,487255
110592245,1091,1331577
110592246,1681,2037092
110592247,1424,1689621
110592248,1816,1150517
110592249,1934,1628503
110592250,1659,1240756
110592251,1339,1602196
110592252,1510,934340
110592253,1817,2182681
110592254,1677,1798711
110592255,1726,1837386
110592256,1515,1361330
110592257,1590,1752321
110592258,1366,1289019
110592259,1756,2348341
110592260,3089,2375062
110592261,2202,2892870
110592262,1877,3318603
110592263,1558,4147420
110592264,1681,1275593
110592265,1448,1362921
110592266,616,667127
110592267,1547,1600583
110592268,0,0
110592269,2341,3080919
110592270,2900,3019102
110592271,1630,4017578
110592272,2042,1410786
110592273,1515,2193963
110592274,1374,1947319
110592275,1910,2264284
110592276,1128,1160982
110592277,1363,1568868
110592278,1548,2075706
110592279,1968,1947486
110592280,2160,2030723
110592281,3180,3702826
110592282,1355,3220491
110592283,1420,2660747
110592284,1423,81318
110592285,1365,119888
110592286,1054,116672
110592287,1126,311392
110592288,2950,2313284
110592289,1743,2841280
110592290,1792,1576596
110592291,727,1713943
110592292,1086,935661
110592293,1165,1294828
110592294,1901,1642794
110592295,1546,1680024
110592296,1617,803639
110592297,1651,1594572
110592298,1255,1360783
110592299,1207,1252608
110592300,1906,941444
110592301,1365,1153673
110592302,1348,1580363
110592303,757,973686
110592304,3644,3106611
110592305,1852,3971294
110592306,1977,3092152
110592307,1338,4177506
110592308,1666,1227574
110592309,1574,1800066
110592310,1237,1786770
110592311,1836,2091888
110592312,2393,2283718
110592313,2003,1935389
110592314,1103,2664266
110592315,1034,2250496
110592316,3992,3130349
110592317,2452,2570580
110592318,1542,2056528
110592319,1375,2195056
110592320,0,0
110592321,0,0
110592322,0,0
110592323,0,0
110592324,1489,1752189
110592325,860,2706014
110592326,1672,2572050
110592327,1013,1993494
110592328,3326,2970287
110592329,881,2691341
110592330,1915,2894375
110592331,898,1538543
110592332,3121,1334727
110592333,887,1719862
110592334,1374,1620344
110592335,1424,1606843
110592336,2508,2112963
110592337,1663,2491703
110592338,792,2067353
110592339,1530,1610163
110592340,0,0
110592341,2255,1507859
110592342,1396,1538328
110592343,871,1553302
110592344,966,732186
110592345,1315,593050
110592346,1301,1270522
110592347,1304,1704735
110592348,2772,1692314
110592349,2532,2647218
110592350,1874,4287420
110592351,763,2147925
110592352,2011,1517464
110592353,1119,979900
110592354,636,921577
110592355,1330,1552047
110592356,2039,1291920
110592357,1644,3711106
110592358,1420,2745952
110592359,1915,2288313
110592360,2712,2775088
110592361,2321,1711468
110592362,1357,3314976
110592363,1776,2865465
110592364,3642,3181333
110592365,1266,4248329
110592366,1732,3461791
110592367,1381,2623289
110592368,0,0
110592369,1631,1419906
110592370,1383,1824097
110592371,1261,1575070
110592372,3736,3548600
110592373,1938,4415975
110592374,1642,2459908
110592375,1324,3870467
110592376,2909,1978612
110592377,1799,3375493
110592378,1751,2767447
110592379,1112,1736939
110592380,1726,1078426
110592381,1634,1448024
110592382,1022,1630431
110592383,1785,1548471
110592384,0,0
110592385,0,0
110592386,0,0
110592387,0,0
110592388,1506,1177660
110592389,473,1130334
110592390,702,2125126
110592391,1811,2399920
110592392,3246,2865407
110592393,801,2141008
110592394,1201,2270003
110592395,2411,4723198
110592396,3603,3522090
110592397,1076,4947158
110592398,1723,1910409
110592399,686,1733043
110592400,3249,2067201
110592401,1494,3310464
110592402,1847,1182676
110592403,1115,2145252
110592404,2874,1752189
110592405,1730,3010959
110592406,1045,2109466
110592407,332,757849
110592408,1948,1497179
110592409,1716,2060767
110592410,1503,1794742
110592411,1766,2140458
110592412,2951,2203492
110592413,1792,2488136
110592414,821,1301704
110592415,1036,1191299
110592416,1968,1873740
110592417,1941,1602593
110592418,1310,1814807
110592419,1986,1429888
110592420,4136,3302442
110592421,523,2607472
110592422,338,1334087
110592423,2520,1392973
110592424,1465,932754
110592425,1349,2173334
110592426,964,2230233
110592427,1296,1569168
110592428,3063,2619045
110592429,2036,2308487
110592430,1029,1581482
110592431,1098,1681797
110592432,3413,3634961
110592433,1666,2608244
110592434,1251,1464004
110592435,773,1358044
110592436,3476,2957151
110592437,1160,2333123
110592438,1707,1697941
110592439,2184,2532057
110592440,706,69365
110592441,1092,17874
110592442,899,795748
110592443,947,939009
110592444,1512,1777575
110592445,1586,2013754
110592446,1481,1504170
110592447,1499,1983298
110592448,3956,2807433
110592449,1707,3284861
110592450,1306,4608195
110592451,1502,1787081
110592452,0,0
110592453,0,0
110592454,0,0
110592455,0,0
110592456,1243,963840
110592457,753,1687536
110592458,1267,2204494
110592459,1198,1188801
110592460,1803,1275898
110592461,1738,1827165
110592462,1678,1949455
110592463,1384,2400926
110592464,3329,3986799
110592465,1745,3525529
110592466,2100,3012921
110592467,2172,2928832
110592468,0,0
110592469,0,0
110592470,0,0
110592471,0,0
110592472,1372,1799097
110592473,479,2145192
110592474,1473,1433696
110592475,1068,2873251
110592476,1434,2476022
110592477,1042,1494950
110592478,1361,1637580
110592479,1392,1636396
110592480,1045,156238
110592481,1333,1430496
110592482,1463,1527945
110592483,1877,1490290
110592484,0,0
110592485,3012,2244408
110592486,2325,5142051
110592487,1146,2569545
110592488,1350,1997788
110592489,0,0
110592490,0,0
110592491,0,0
110592492,0,0
110592493,1676,741716
110592494,2010,1543413
110592495,514,1002594
110592496,1830,936955
110592497,1836,1608828
110592498,1670,2272493
110592499,1356,2562065
110592500,3307,3333625
110592501,1268,3110636
110592502,2146,1791332
110592503,1293,2958474
110592504,2954,1157853
110592505,1115,5184368
110592506,984,3673630
110592507,1928,2527288
110592508,3061,1663429
110592509,0,0
110592510,2384,1869758
110592511,685,3207846
110592512,3342,3393154
110592513,607,2665936
110592514,1693,2400798
110592515,992,2520308
110592516,3689,2501258
110592517,1131,1900370
110592518,370,1324794
110592519,2257,2136460
110592520,3464,2898123
110592521,1028,2641860
110592522,1262,1351012
110592523,1887,2209877
